"ID","sector_empresa","genero","experiencia_empresa","estudios","valoracion_empresa_2018","valoracion_empresa_2019","valoracion_empresa_2020","Abandonar empresa","problema_trabajo","problema_relaciones","horas_extra_2018","horas_extra_2020","compentencia","autoestima","autoeficacia","ansiedad","satisfaccion","optimismo","estres","expectativas_2018","expectativas_2020"
"1",1,2,3,2,1.0,2.0,2.0,3,1,1,1,1,3.0,3.0,10.0,4.0,8.0,4.0,2,2.0,3.0
"2",1,1,4,1,2.0,2.0,2.0,2,2,1,1,1,4.0,5.0,10.0,5.0,10.0,4.0,3,3.0,4.0
"3",1,1,2,1,2.0,1.0,4.0,0,1,1,1,2,4.0,2.0,8.0,4.0,9.0,4.0,2,6.0,6.0
"4",1,1,1,1,2.0,3.0,2.0,3,1,1,1,1,5.0,3.0,8.0,5.0,8.0,2.0,2,5.0,4.0
"5",1,2,2,2,2.0,2.0,2.0,3,1,1,1,2,3.0,4.0,6.0,5.0,7.0,4.0,2,5.0,5.0
"6",1,1,2,2,2.0,1.0,2.0,2,1,1,2,1,4.0,3.0,7.0,5.0,7.0,3.0,2,2.0,3.0
"7",1,1,2,2,2.0,3.0,2.0,2,1,1,1,1,6.0,4.0,7.0,6.0,7.0,4.0,2,6.0,5.0
"8",1,1,1,3,3.0,2.0,2.0,2,2,2,1,1,5.0,5.0,7.0,5.0,7.0,3.0,2,4.0,3.0
"9",1,1,1,1,1.0,2.0,2.0,2,1,1,1,1,6.0,4.0,9.0,3.0,9.0,4.0,1,6.0,6.0
"10",1,2,2,1,2.0,1.0,2.0,3,1,1,1,1,6.0,4.0,9.0,4.0,9.0,3.0,2,5.0,5.0
"11",1,2,2,2,3.0,2.0,2.0,2,1,2,2,1,2.0,3.0,7.0,6.0,7.0,3.0,3,4.0,4.0
"12",1,1,2,1,2.0,2.0,2.0,2,1,2,1,2,4.0,4.0,8.0,6.0,8.0,4.0,2,5.0,5.0
"13",1,2,2,2,2.0,1.0,1.0,3,1,1,1,1,5.0,4.0,9.0,4.0,10.0,4.0,1,6.0,7.0
"14",1,2,3,1,1.0,3.0,2.0,2,2,1,1,1,0.0,4.0,10.0,4.0,10.0,4.0,1,3.0,5.0
"15",1,2,2,1,2.0,1.0,2.0,2,1,2,1,1,5.0,5.0,3.0,5.0,3.0,4.0,2,5.0,4.0
"16",1,2,4,2,3.0,2.0,2.0,2,2,1,2,1,5.0,4.0,7.0,7.0,7.0,2.0,3,4.0,3.0
"17",1,1,1,1,1.0,2.0,1.0,3,1,2,1,1,6.0,5.0,10.0,3.0,9.0,4.0,1,6.0,6.0
"18",1,1,2,1,2.0,1.0,1.0,3,1,2,2,2,4.0,3.0,5.0,6.0,7.0,4.0,3,5.0,6.0
"19",1,1,3,2,2.0,1.0,1.0,3,1,1,2,2,5.0,4.0,8.0,4.0,8.0,4.0,2,6.0,6.0
"20",1,2,2,2,1.0,1.0,1.0,3,1,1,1,1,6.0,3.0,10.0,3.0,10.0,4.0,1,9.0,8.0
"21",1,1,2,1,1.0,1.0,1.0,3,1,2,1,1,5.0,4.0,5.0,4.0,7.0,4.0,2,7.0,7.0
"22",1,2,1,1,1.0,1.0,2.0,3,2,2,1,1,5.0,5.0,10.0,4.0,10.0,4.0,3,9.0,8.0
"23",1,2,3,1,1.0,2.0,1.0,4,1,2,1,1,4.0,5.0,9.0,4.0,9.0,3.0,2,6.0,6.0
"24",1,1,2,2,1.0,2.0,1.0,4,1,1,1,1,5.0,4.0,8.0,4.0,7.0,4.0,1,5.0,5.0
"25",1,1,2,2,1.0,1.0,1.0,4,1,1,1,1,5.0,5.0,8.0,3.0,9.0,5.0,1,6.0,7.0
"26",1,1,2,2,2.0,1.0,2.0,3,1,2,2,1,5.0,4.0,7.0,4.0,8.0,4.0,1,5.0,5.0
"27",1,1,3,1,2.0,1.0,2.0,2,2,1,1,1,5.0,4.0,8.0,4.0,9.0,4.0,2,4.0,5.0
"28",1,2,3,2,1.0,1.0,1.0,3,1,1,2,2,5.0,4.0,9.0,4.0,9.0,4.0,1,6.0,6.0
"29",1,2,3,2,1.0,1.0,1.0,4,2,1,1,2,5.0,4.0,9.0,4.0,9.0,4.0,1,7.0,7.0
"30",1,1,2,1,2.0,1.0,1.0,4,1,1,1,1,3.0,4.0,9.0,4.0,9.0,4.0,1,4.0,5.0
"31",1,1,1,1,2.0,2.0,1.0,3,1,2,1,1,5.0,5.0,8.0,4.0,9.0,4.0,1,6.0,6.0
"32",1,1,3,1,3.0,2.0,2.0,3,2,1,1,1,5.0,4.0,4.0,6.0,7.0,2.0,3,3.0,3.0
"33",1,1,2,2,2.0,2.0,2.0,2,2,1,2,2,6.0,5.0,8.0,6.0,7.0,2.0,2,4.0,3.0
"34",1,1,3,1,2.0,2.0,1.0,3,1,1,2,2,2.0,5.0,9.0,5.0,9.0,5.0,2,3.0,5.0
"35",1,1,2,2,2.0,2.0,2.0,3,1,1,1,1,4.0,4.0,6.0,5.0,7.0,5.0,2,7.0,7.0
"36",1,2,4,1,2.0,1.0,1.0,3,2,1,2,2,5.0,3.0,10.0,5.0,8.0,4.0,2,4.0,5.0
"37",1,2,2,2,2.0,1.0,1.0,4,2,1,1,1,4.0,4.0,7.0,5.0,7.0,3.0,2,4.0,3.0
"38",1,2,2,1,1.0,1.0,2.0,3,1,1,1,2,6.0,5.0,8.0,4.0,8.0,4.0,1,6.0,6.0
"39",1,2,2,1,2.0,2.0,2.0,3,1,1,1,1,6.0,4.0,9.0,4.0,9.0,3.0,2,6.0,6.0
"40",1,2,1,2,2.0,2.0,3.0,2,2,1,2,2,6.0,5.0,8.0,5.0,8.0,3.0,2,5.0,4.0
"41",1,2,4,1,3.0,4.0,3.0,1,2,2,2,1,3.0,3.0,4.0,10.0,6.0,3.0,3,1.0,1.0
"42",1,1,2,3,2.0,1.0,2.0,3,1,1,1,1,5.0,4.0,9.0,4.0,8.0,4.0,2,6.0,6.0
"43",1,2,3,1,4.0,1.0,2.0,2,1,1,2,2,1.0,3.0,5.0,7.0,6.0,2.0,2,3.0,3.0
"44",1,2,2,1,2.0,4.0,1.0,3,2,2,1,1,2.0,4.0,7.0,6.0,7.0,2.0,3,2.0,2.0
"45",1,2,3,1,2.0,1.0,2.0,3,1,2,1,1,6.0,3.0,8.0,7.0,7.0,4.0,3,4.0,3.0
"46",1,2,3,1,2.0,1.0,1.0,3,2,1,2,2,5.0,3.0,8.0,5.0,7.0,4.0,2,6.0,6.0
"47",1,1,3,3,1.0,1.0,2.0,2,2,1,2,2,6.0,3.0,10.0,4.0,10.0,4.0,1,7.0,7.0
"48",1,2,2,1,2.0,2.0,2.0,2,1,1,1,1,6.0,4.0,10.0,5.0,10.0,4.0,2,8.0,7.0
"49",1,1,2,2,2.0,2.0,1.0,3,1,2,1,1,4.0,4.0,7.0,4.0,8.0,3.0,2,5.0,5.0
"50",1,2,2,2,3.0,1.0,2.0,3,1,2,1,2,4.0,4.0,8.0,4.0,8.0,4.0,2,7.0,7.0
"51",1,2,3,3,1.0,1.0,1.0,4,1,1,1,1,4.0,4.0,10.0,3.0,10.0,4.0,1,6.0,6.0
"52",1,2,3,2,2.0,3.0,3.0,2,1,1,1,1,6.0,3.0,6.0,5.0,7.0,4.0,3,4.0,4.0
"53",1,1,2,1,1.0,1.0,2.0,3,1,1,1,1,6.0,5.0,9.0,4.0,9.0,4.0,1,7.0,7.0
"54",1,2,4,1,3.0,3.0,3.0,1,2,1,2,2,6.0,4.0,10.0,6.0,8.0,2.0,3,5.0,4.0
"55",1,2,1,2,2.0,2.0,2.0,2,1,1,2,2,5.0,4.0,7.0,6.0,7.0,4.0,2,5.0,5.0
"56",1,1,2,1,1.0,1.0,1.0,3,1,1,1,1,6.0,4.0,9.0,3.0,9.0,3.0,1,6.0,6.0
"57",1,2,2,2,1.0,2.0,2.0,3,1,1,2,2,6.0,5.0,9.0,4.0,9.0,3.0,2,6.0,6.0
"58",1,1,2,2,3.0,3.0,2.0,3,1,1,2,2,4.0,4.0,7.0,6.0,7.0,4.0,2,4.0,4.0
"59",1,2,2,1,3.0,3.0,3.0,1,2,2,1,1,2.0,3.0,7.0,9.0,7.0,2.0,3,1.0,0.0
"60",1,2,4,1,3.0,3.0,2.0,2,1,1,2,1,5.0,4.0,10.0,7.0,9.0,3.0,2,4.0,4.0
"61",1,1,3,2,1.0,1.0,1.0,4,1,1,1,1,6.0,4.0,9.0,4.0,8.0,4.0,1,6.0,6.0
"62",1,2,3,1,1.0,2.0,2.0,2,1,1,1,1,1.0,5.0,8.0,4.0,8.0,2.0,2,5.0,5.0
"63",1,1,3,2,2.0,2.0,1.0,3,1,1,1,1,5.0,4.0,8.0,4.0,8.0,3.0,2,5.0,5.0
"64",1,1,3,3,2.0,2.0,1.0,4,2,1,1,1,5.0,3.0,8.0,5.0,8.0,4.0,3,6.0,6.0
"65",1,2,1,1,2.0,2.0,2.0,3,1,2,1,1,6.0,5.0,10.0,5.0,10.0,4.0,1,5.0,6.0
"66",1,1,2,2,2.0,1.0,2.0,2,1,1,1,1,3.0,4.0,7.0,5.0,7.0,2.0,3,2.0,2.0
"67",1,1,2,1,2.0,2.0,2.0,3,1,2,2,1,5.0,3.0,8.0,5.0,7.0,4.0,3,6.0,6.0
"68",1,2,1,1,2.0,3.0,2.0,2,1,2,1,2,6.0,4.0,8.0,5.0,7.0,2.0,2,5.0,4.0
"69",1,1,3,1,2.0,1.0,1.0,3,1,1,1,1,5.0,4.0,8.0,4.0,8.0,4.0,2,7.0,7.0
"70",1,1,2,1,1.0,1.0,1.0,3,1,2,1,1,3.0,4.0,10.0,3.0,10.0,4.0,1,6.0,7.0
"71",1,2,2,2,1.0,1.0,2.0,2,1,1,1,1,5.0,4.0,10.0,4.0,10.0,4.0,2,4.0,5.0
"72",1,2,2,2,3.0,1.0,2.0,2,1,2,1,2,3.0,4.0,8.0,6.0,7.0,4.0,2,5.0,5.0
"73",1,1,2,2,3.0,1.0,1.0,4,1,2,1,1,4.0,4.0,4.0,5.0,4.0,5.0,3,7.0,7.0
"74",1,1,3,1,4.0,1.0,2.0,2,2,2,1,1,5.0,3.0,5.0,8.0,3.0,2.0,3,5.0,3.0
"75",1,1,3,1,3.0,1.0,4.0,1,2,1,2,1,5.0,3.0,7.0,7.0,8.0,5.0,3,6.0,5.0
"76",1,2,2,1,1.0,3.0,1.0,3,2,1,2,2,5.0,4.0,7.0,5.0,9.0,4.0,2,6.0,6.0
"77",1,1,2,3,1.0,1.0,2.0,2,1,2,2,2,6.0,5.0,8.0,5.0,10.0,4.0,2,7.0,7.0
"78",1,2,3,1,3.0,2.0,3.0,2,2,1,2,1,2.0,4.0,5.0,7.0,5.0,4.0,3,4.0,3.0
"79",1,2,2,2,2.0,2.0,2.0,2,2,1,2,1,6.0,3.0,9.0,5.0,9.0,3.0,3,6.0,6.0
"80",1,1,3,2,1.0,1.0,1.0,3,1,1,1,1,6.0,3.0,9.0,4.0,9.0,4.0,1,7.0,7.0
"81",1,1,3,2,2.0,1.0,2.0,3,2,2,2,1,4.0,4.0,7.0,6.0,8.0,2.0,3,0.0,1.0
"82",1,1,3,1,2.0,2.0,2.0,3,2,1,2,2,6.0,3.0,9.0,4.0,9.0,4.0,1,8.0,7.0
"83",1,1,3,2,3.0,4.0,4.0,0,2,1,1,2,1.0,3.0,8.0,10.0,8.0,3.0,3,2.0,3.0
"84",1,2,2,1,2.0,1.0,2.0,2,2,2,1,1,5.0,4.0,7.0,6.0,7.0,3.0,2,5.0,4.0
"85",1,1,1,1,1.0,1.0,1.0,4,1,1,1,1,5.0,4.0,8.0,4.0,7.0,4.0,2,5.0,5.0
"86",1,2,1,1,2.0,2.0,2.0,2,2,1,2,1,4.0,5.0,8.0,5.0,7.0,4.0,2,3.0,4.0
"87",1,1,2,1,2.0,3.0,4.0,1,2,1,2,2,5.0,3.0,6.0,6.0,7.0,4.0,2,5.0,4.0
"88",1,2,2,3,2.0,2.0,2.0,2,2,1,2,1,4.0,3.0,8.0,5.0,7.0,2.0,2,3.0,3.0
"89",1,2,1,1,2.0,2.0,3.0,1,1,1,1,2,5.0,3.0,6.0,6.0,7.0,4.0,2,2.0,2.0
"90",1,2,2,1,1.0,1.0,1.0,3,1,2,1,1,5.0,3.0,10.0,4.0,10.0,3.0,2,5.0,6.0
"91",1,1,3,1,1.0,3.0,3.0,2,1,1,1,1,6.0,2.0,8.0,6.0,8.0,3.0,3,3.0,3.0
"92",1,2,2,1,4.0,4.0,3.0,2,1,2,1,1,3.0,4.0,7.0,9.0,6.0,3.0,3,0.0,0.0
"93",1,2,1,1,1.0,3.0,2.0,3,1,2,1,1,6.0,4.0,9.0,4.0,9.0,2.0,1,6.0,5.0
"94",1,2,3,1,1.0,1.0,3.0,1,1,2,1,1,3.0,4.0,8.0,4.0,8.0,4.0,2,7.0,6.0
"95",1,2,4,1,2.0,1.0,2.0,3,1,2,1,1,6.0,4.0,8.0,5.0,8.0,3.0,2,6.0,5.0
"96",1,2,4,1,3.0,3.0,3.0,2,2,2,1,1,1.0,4.0,9.0,7.0,7.0,4.0,3,2.0,3.0
"97",1,1,3,2,2.0,2.0,1.0,4,1,1,1,1,5.0,5.0,7.0,5.0,7.0,4.0,2,3.0,4.0
"98",1,1,1,1,1.0,1.0,1.0,4,1,1,1,1,5.0,5.0,9.0,3.0,9.0,4.0,1,6.0,7.0
"99",1,2,2,2,3.0,3.0,2.0,3,1,1,2,2,5.0,3.0,8.0,5.0,8.0,4.0,3,2.0,3.0
"100",1,1,2,2,1.0,2.0,2.0,2,1,1,1,1,6.0,4.0,9.0,3.0,9.0,5.0,1,7.0,7.0
"101",1,2,4,1,1.0,2.0,3.0,1,1,1,2,2,3.0,5.0,9.0,4.0,9.0,5.0,1,6.0,7.0
"102",1,1,1,1,3.0,1.0,3.0,1,1,2,2,2,5.0,4.0,7.0,8.0,5.0,3.0,3,2.0,2.0
"103",1,1,3,2,2.0,1.0,2.0,2,1,1,2,2,5.0,4.0,8.0,4.0,8.0,4.0,2,5.0,5.0
"104",1,1,2,1,2.0,1.0,1.0,3,1,2,1,1,3.0,4.0,7.0,5.0,7.0,2.0,3,4.0,4.0
"105",1,2,2,2,2.0,1.0,2.0,2,2,1,2,1,2.0,4.0,4.0,5.0,5.0,4.0,2,6.0,5.0
"106",1,1,2,3,2.0,2.0,2.0,3,2,1,2,2,5.0,3.0,9.0,4.0,9.0,4.0,1,4.0,5.0
"107",1,2,2,1,1.0,1.0,2.0,2,1,1,1,1,5.0,4.0,8.0,3.0,8.0,4.0,1,6.0,6.0
"108",1,2,2,2,3.0,3.0,3.0,2,2,1,1,2,5.0,4.0,7.0,8.0,7.0,2.0,3,2.0,1.0
"109",1,2,4,1,1.0,2.0,2.0,3,1,1,2,2,6.0,4.0,8.0,5.0,7.0,3.0,2,6.0,5.0
"110",1,1,3,1,1.0,1.0,1.0,4,1,1,1,1,5.0,4.0,8.0,4.0,9.0,5.0,2,9.0,9.0
"111",1,2,4,1,2.0,3.0,4.0,0,2,1,1,1,5.0,4.0,10.0,6.0,10.0,4.0,2,5.0,5.0
"112",1,2,4,1,2.0,2.0,2.0,2,1,2,1,2,6.0,4.0,9.0,5.0,7.0,4.0,2,6.0,6.0
"113",1,1,3,2,2.0,4.0,1.0,4,1,1,1,1,6.0,3.0,9.0,6.0,9.0,5.0,2,6.0,7.0
"114",1,1,2,2,1.0,1.0,2.0,3,1,1,1,1,6.0,4.0,9.0,3.0,9.0,4.0,1,7.0,7.0
"115",1,2,2,1,2.0,1.0,3.0,1,2,1,1,2,1.0,3.0,8.0,6.0,8.0,4.0,2,1.0,3.0
"116",1,1,1,1,2.0,2.0,1.0,4,1,1,2,2,5.0,4.0,7.0,5.0,7.0,3.0,2,1.0,3.0
"117",1,2,3,2,2.0,2.0,3.0,1,2,2,2,2,6.0,4.0,8.0,6.0,8.0,3.0,3,5.0,3.0
"118",1,1,2,2,1.0,2.0,2.0,2,1,1,2,1,4.0,5.0,9.0,4.0,9.0,4.0,1,6.0,6.0
"119",1,2,4,1,2.0,1.0,1.0,3,1,1,1,1,5.0,4.0,8.0,4.0,8.0,4.0,1,7.0,7.0
"120",1,2,2,2,2.0,2.0,2.0,2,1,2,1,1,4.0,3.0,8.0,5.0,7.0,3.0,3,4.0,4.0
"121",1,2,3,1,1.0,4.0,3.0,2,1,1,2,2,6.0,4.0,7.0,6.0,7.0,4.0,3,4.0,4.0
"122",1,1,3,1,2.0,3.0,1.0,3,1,1,1,1,4.0,3.0,7.0,4.0,7.0,4.0,2,6.0,6.0
"123",1,2,3,1,2.0,2.0,2.0,2,2,2,1,1,6.0,4.0,7.0,5.0,8.0,4.0,2,6.0,6.0
"124",1,2,1,1,1.0,3.0,1.0,3,1,2,1,1,5.0,4.0,8.0,5.0,8.0,4.0,2,6.0,6.0
"125",1,1,2,3,2.0,1.0,1.0,4,1,1,1,1,6.0,4.0,9.0,4.0,9.0,4.0,2,6.0,7.0
"126",1,1,2,2,3.0,2.0,1.0,3,2,2,2,2,4.0,4.0,7.0,7.0,7.0,5.0,1,5.0,5.0
"127",1,2,2,2,2.0,2.0,1.0,3,1,1,1,1,5.0,5.0,8.0,4.0,8.0,4.0,1,5.0,5.0
"128",1,1,2,1,2.0,1.0,2.0,2,1,2,1,1,5.0,3.0,7.0,5.0,7.0,5.0,2,6.0,5.0
"129",1,1,2,1,2.0,1.0,2.0,3,1,1,1,1,5.0,4.0,9.0,4.0,8.0,4.0,1,6.0,6.0
"130",1,1,2,2,2.0,1.0,2.0,3,1,1,1,1,5.0,4.0,10.0,4.0,9.0,3.0,2,5.0,5.0
"131",1,2,1,1,2.0,3.0,2.0,3,2,1,1,1,5.0,4.0,8.0,5.0,9.0,4.0,2,6.0,6.0
"132",1,2,3,1,2.0,3.0,2.0,3,2,1,1,1,5.0,2.0,8.0,5.0,8.0,4.0,2,5.0,5.0
"133",1,2,1,1,2.0,2.0,2.0,2,1,2,1,1,5.0,5.0,8.0,4.0,8.0,4.0,1,4.0,5.0
"134",1,2,3,1,3.0,1.0,1.0,4,2,1,2,2,6.0,5.0,9.0,7.0,9.0,5.0,2,7.0,7.0
"135",1,1,2,1,1.0,1.0,1.0,3,1,1,2,2,2.0,4.0,9.0,3.0,8.0,4.0,1,7.0,7.0
"136",1,1,2,3,4.0,2.0,2.0,2,2,1,1,2,3.0,4.0,5.0,7.0,5.0,3.0,3,3.0,3.0
"137",1,1,3,1,2.0,3.0,2.0,2,1,1,1,1,6.0,2.0,5.0,6.0,9.0,4.0,3,2.0,3.0
"138",1,2,4,1,2.0,2.0,1.0,3,1,1,1,1,6.0,3.0,9.0,4.0,9.0,3.0,1,6.0,6.0
"139",1,2,4,1,3.0,1.0,2.0,2,2,2,2,2,4.0,4.0,7.0,7.0,7.0,3.0,3,3.0,2.0
"140",1,1,3,1,2.0,1.0,1.0,4,1,1,1,1,4.0,5.0,8.0,4.0,9.0,2.0,3,6.0,5.0
"141",1,1,1,1,2.0,1.0,2.0,3,1,2,2,2,6.0,4.0,9.0,5.0,8.0,4.0,3,6.0,6.0
"142",1,2,2,2,1.0,1.0,1.0,4,1,1,1,1,6.0,4.0,9.0,3.0,8.0,4.0,1,9.0,8.0
"143",1,1,2,2,2.0,4.0,4.0,1,2,2,1,1,5.0,3.0,5.0,6.0,7.0,2.0,3,4.0,3.0
"144",1,1,2,3,1.0,1.0,1.0,4,1,1,1,1,4.0,5.0,9.0,3.0,10.0,4.0,1,9.0,8.0
"145",1,2,4,1,1.0,1.0,2.0,2,1,1,1,1,5.0,5.0,7.0,4.0,8.0,4.0,2,6.0,6.0
"146",1,2,2,1,1.0,2.0,2.0,3,1,2,1,1,4.0,4.0,8.0,4.0,9.0,5.0,1,7.0,7.0
"147",1,2,3,1,2.0,1.0,1.0,3,1,2,2,1,5.0,4.0,8.0,5.0,8.0,5.0,2,7.0,7.0
"148",1,1,1,1,2.0,2.0,1.0,4,2,2,2,2,4.0,4.0,9.0,5.0,9.0,4.0,2,6.0,6.0
"149",1,2,1,1,1.0,3.0,1.0,4,2,2,1,1,6.0,5.0,9.0,4.0,10.0,2.0,1,6.0,5.0
"150",1,2,3,1,1.0,2.0,2.0,3,1,1,1,1,5.0,4.0,6.0,4.0,7.0,5.0,1,6.0,6.0
"151",1,1,2,2,2.0,2.0,1.0,4,2,1,1,1,6.0,5.0,8.0,5.0,8.0,4.0,2,5.0,5.0
"152",1,1,4,1,3.0,3.0,2.0,3,2,2,1,1,5.0,4.0,9.0,7.0,9.0,2.0,3,4.0,3.0
"153",1,1,2,2,2.0,3.0,4.0,1,1,2,2,2,2.0,4.0,7.0,6.0,7.0,3.0,3,1.0,2.0
"154",1,2,2,2,1.0,3.0,2.0,3,1,1,1,2,5.0,4.0,9.0,4.0,9.0,4.0,2,6.0,6.0
"155",1,2,4,1,2.0,1.0,1.0,4,1,2,1,1,4.0,4.0,8.0,4.0,8.0,3.0,2,6.0,6.0
"156",1,1,2,1,2.0,2.0,2.0,3,1,2,1,1,5.0,4.0,9.0,4.0,9.0,4.0,2,6.0,6.0
"157",1,1,2,2,2.0,1.0,2.0,2,1,2,2,1,5.0,4.0,8.0,4.0,8.0,4.0,2,6.0,6.0
"158",1,2,4,1,3.0,2.0,4.0,1,2,2,1,1,5.0,3.0,8.0,8.0,3.0,4.0,2,4.0,3.0
"159",1,1,3,1,2.0,2.0,2.0,2,1,1,1,1,4.0,3.0,8.0,4.0,8.0,4.0,2,5.0,5.0
"160",1,1,2,1,1.0,1.0,1.0,3,1,2,1,1,5.0,5.0,8.0,3.0,8.0,4.0,1,6.0,7.0
"161",1,2,1,1,2.0,2.0,1.0,3,1,1,2,2,6.0,4.0,8.0,5.0,8.0,4.0,2,4.0,4.0
"162",1,2,2,1,1.0,2.0,2.0,3,1,1,1,2,6.0,4.0,9.0,4.0,9.0,5.0,1,9.0,9.0
"163",1,2,2,3,2.0,3.0,1.0,3,1,2,1,1,4.0,4.0,7.0,8.0,7.0,3.0,3,4.0,4.0
"164",1,1,2,2,2.0,3.0,2.0,3,2,2,1,1,6.0,4.0,8.0,5.0,8.0,5.0,2,6.0,6.0
"165",1,1,3,1,3.0,3.0,3.0,1,2,2,1,1,4.0,3.0,7.0,9.0,6.0,2.0,3,0.0,0.0
"166",1,1,3,1,2.0,2.0,2.0,2,1,2,2,2,6.0,4.0,9.0,6.0,9.0,4.0,2,4.0,5.0
"167",1,1,3,1,1.0,1.0,1.0,3,1,1,1,1,3.0,3.0,6.0,4.0,6.0,3.0,2,3.0,3.0
"168",1,2,4,2,2.0,3.0,2.0,3,1,1,2,2,5.0,4.0,9.0,5.0,9.0,4.0,2,6.0,6.0
"169",1,1,2,1,2.0,2.0,2.0,3,1,1,2,2,4.0,5.0,8.0,6.0,8.0,2.0,2,2.0,2.0
"170",1,2,2,2,2.0,2.0,2.0,3,1,1,2,2,6.0,4.0,8.0,4.0,9.0,4.0,2,5.0,5.0
"171",1,2,2,2,2.0,1.0,1.0,3,1,1,1,1,5.0,4.0,9.0,4.0,8.0,4.0,1,5.0,5.0
"172",1,2,1,1,3.0,2.0,3.0,1,2,1,2,1,6.0,4.0,6.0,6.0,7.0,2.0,2,4.0,2.0
"173",1,1,1,1,2.0,2.0,2.0,2,2,2,1,2,5.0,4.0,6.0,6.0,7.0,4.0,2,5.0,5.0
